Reads,EC1,EC2,EC3,Sp1,Sp2,Sp3,Ve1,Ve2,Ve3
LOC_Os01g02890.1,193,178,61,1231,866,612,28,14,23
LOC_Os01g02900.1,0,0,0,1,1,0,0,0,0
LOC_Os01g02910.1,11,13,11,1,0,0,0,0,0
LOC_Os01g02920.1,4,9,14,0,0,0,0,1,0
LOC_Os01g02940.4,282,207,187,2,6,3,1,3,5
LOC_Os01g02950.1,1,1,1,117,92,19,5,0,5
LOC_Os01g02960.1,414,305,351,62,23,10,40,46,45
LOC_Os01g02970.1,0,0,0,0,6,0,0,1,0
LOC_Os01g02980.1,11,4,2,19,5,13,0,2,3
LOC_Os01g03010.1,0,0,0,0,0,0,0,0,1
LOC_Os01g03020.1,723,691,397,34,12,9,35,31,31
LOC_Os01g03030.1,24,21,27,8,2,4,1,0,0
LOC_Os01g03040.1,25,33,60,7,10,2,0,0,1
LOC_Os01g03050.1,26,28,18,55,31,46,208,316,256
LOC_Os01g03060.1,892,873,985,900,663,355,57,74,76
LOC_Os01g03070.1,2152,1927,2167,1668,1230,756,155,116,147
LOC_Os01g03080.1,0,0,0,2,0,0,0,0,0
LOC_Os01g03090.1,336,296,444,853,720,415,190,234,178
LOC_Os01g03100.2,357,319,463,1915,1476,1106,216,239,190
LOC_Os01g03110.1,250,311,248,585,489,336,175,99,171
LOC_Os01g03130.1,32,2,0,1,0,0,1,1,2
LOC_Os01g03144.1,134,144,51,35,9,4,34,41,40
LOC_Os01g03160.1,93,81,108,5,4,8,5,29,24
LOC_Os01g03170.1,0,0,12,157,131,125,11,12,14
LOC_Os01g03180.1,163,151,160,0,1,0,0,0,1
LOC_Os01g03190.1,78,85,57,3,4,4,0,0,1
LOC_Os01g03210.1,0,0,0,0,0,0,0,1,0
LOC_Os01g03260.1,16,6,37,11,3,0,1,0,0
LOC_Os01g03300.1,0,0,0,0,0,0,0,0,1
LOC_Os01g03320.1,0,1,0,0,0,0,0,0,0
LOC_Os01g03330.1,9,7,2,0,0,0,0,0,0
LOC_Os01g03340.1,124,95,95,0,1,1,0,0,3
LOC_Os01g03360.1,115,139,68,1,1,0,1,0,1
LOC_Os01g03390.1,10,15,10,0,0,0,0,0,0
LOC_Os01g03410.1,15,11,12,0,0,0,0,0,0
LOC_Os01g03420.1,0,0,0,0,0,0,1,1,2
LOC_Os01g03452.1,0,0,0,0,0,2,0,0,0
LOC_Os01g03480.1,2,3,2,1,1,1,0,0,0
LOC_Os01g03490.1,580,615,693,9,6,11,5,1,3
LOC_Os01g03500.1,39,26,23,21,15,5,4,5,8
LOC_Os01g03510.1,341,272,222,303,228,430,2807,3273,3449
LOC_Os01g03520.1,612,539,583,1830,1462,818,407,518,609
LOC_Os01g03549.1,2,10,1,0,0,0,0,0,0
LOC_Os01g03570.1,641,575,528,83,75,37,10,12,20
LOC_Os01g03580.1,0,0,0,0,0,0,1,0,0
LOC_Os01g03610.1,0,0,0,2,0,1,0,0,0
LOC_Os01g03630.1,0,0,1,0,0,0,0,0,0
LOC_Os01g03640.1,0,1,0,9,6,30,82,110,123
LOC_Os01g03650.1,188,135,111,78,82,35,71,38,41
LOC_Os01g03660.3,19,20,17,4,1,0,5,7,6
LOC_Os01g03670.1,0,0,0,0,1,0,14,19,17
