Reads,EC1,EC2,EC3,Sp1,Sp2,Sp3,Ve1,Ve2,Ve3
LOC_Os04g44180.1,19,10,34,875,692,411,28,24,42
LOC_Os04g44190.1,55,38,9,9,10,17,118,119,114
LOC_Os04g44200.1,1,3,1,1,0,0,0,0,0
LOC_Os04g44210.3,29,44,29,27,12,6,0,0,0
LOC_Os04g44220.1,11,5,14,57,27,15,0,3,7
LOC_Os04g44240.1,1,0,0,0,0,0,0,0,0
LOC_Os04g44270.1,0,0,0,3,0,0,0,0,0
LOC_Os04g44280.1,1,0,3,0,0,0,0,0,0
LOC_Os04g44290.1,191,181,169,1,2,1,1,3,3
LOC_Os04g44300.1,45,52,67,0,2,0,0,0,2
LOC_Os04g44320.1,126,116,73,0,0,0,0,0,2
LOC_Os04g44330.1,448,458,522,0,1,1,6,2,4
LOC_Os04g44340.1,15,7,7,0,0,0,0,0,0
LOC_Os04g44354.4,6,26,12,0,0,0,4,2,5
LOC_Os04g44400.1,54,40,55,38,44,13,55,60,57
LOC_Os04g44410.1,8,12,13,589,311,188,16,14,5
LOC_Os04g44420.1,1,0,0,7,4,2,0,0,0
LOC_Os04g44430.1,146,261,110,15,5,0,0,0,0
LOC_Os04g44460.1,0,0,0,1,0,0,0,0,0
LOC_Os04g44470.1,1,3,4,0,0,0,0,0,0
LOC_Os04g44500.1,6,9,0,0,0,0,0,0,0
LOC_Os04g44510.1,11,10,6,2,1,0,0,0,0
LOC_Os04g44530.8,228,220,132,5,2,3,0,2,3
LOC_Os04g44540.1,31,36,22,0,1,0,1,8,7
LOC_Os04g44550.1,38,33,10,0,0,0,3,0,6
LOC_Os04g44560.1,90,83,33,108,71,19,23,11,10
LOC_Os04g44570.1,1,1,0,29,21,11,0,0,0
LOC_Os04g44580.1,0,0,0,3,7,0,0,1,0
LOC_Os04g44590.1,81,80,39,8,5,5,4,9,2
LOC_Os04g44600.1,0,1,0,1,1,0,0,0,0
LOC_Os04g44610.1,116,65,29,24,11,11,1,0,1
LOC_Os04g44620.1,73,32,43,64,38,17,3,2,2
LOC_Os04g44640.1,2,5,6,0,0,0,0,0,0
LOC_Os04g44650.1,32,24,28,3,2,0,6,5,7
LOC_Os04g44670.1,10,5,5,0,7,0,0,0,0
LOC_Os04g44700.1,143,136,162,1055,1310,680,49,55,102
LOC_Os04g44710.1,202,181,185,92,62,84,122,196,153
LOC_Os04g44730.1,47,32,47,143,129,82,1,7,0
LOC_Os04g44740.1,208,184,163,749,496,497,1857,1933,1665
LOC_Os04g44750.1,160,138,115,719,454,481,1904,1989,1717
LOC_Os04g44770.1,17,24,5,0,0,0,0,0,0
LOC_Os04g44780.1,41,48,42,1,0,0,1,0,0
LOC_Os04g44790.1,2,1,0,0,0,0,0,0,0
LOC_Os04g44800.1,127,138,149,21,15,9,16,11,12
LOC_Os04g44810.1,52,49,19,7,8,2,16,50,30
LOC_Os04g44820.2,3197,4159,1811,419,234,830,3344,3350,4215
LOC_Os04g44830.1,385,438,147,676,565,360,116,99,157
LOC_Os04g44840.1,81,55,54,12,12,5,1,0,0
LOC_Os04g44850.1,87,62,35,0,0,0,3,2,4
LOC_Os04g44870.1,1965,1751,551,5,2,4,4,5,4
LOC_Os04g44880.1,0,1,0,0,0,0,0,0,0
LOC_Os04g44890.3,67,52,35,62,40,29,6,6,2
LOC_Os04g44900.1,183,225,57,60,72,32,1,1,3
LOC_Os04g44910.1,229,238,51,22,11,1,1,1,0
LOC_Os04g44920.2,284,231,92,88,39,22,11,13,6
LOC_Os04g44924.1,2,4,7,14,4,13,21,26,40
LOC_Os04g44930.1,29,37,67,554,498,252,72,48,106
LOC_Os04g44940.1,0,0,0,1,1,1,0,0,0
LOC_Os04g44950.1,6,9,2,2,11,1,0,4,0
LOC_Os04g44980.1,65,44,15,0,0,0,0,0,0
LOC_Os04g44990.1,1,0,0,0,0,0,0,0,0
LOC_Os04g45000.4,90,104,184,0,0,0,1,1,1
LOC_Os04g45010.1,4,6,14,352,208,988,5183,5791,6366
LOC_Os04g45040.1,344,295,152,368,251,142,128,192,178
LOC_Os04g45060.1,4,5,0,1,0,0,0,0,0
LOC_Os04g45070.1,262,267,160,0,0,2,8,6,1
LOC_Os04g45090.2,4,3,2,1,0,0,0,0,0
LOC_Os04g45100.1,0,2,1,0,0,0,0,0,0
LOC_Os04g45110.1,0,0,0,0,0,1,0,0,1
LOC_Os04g45120.1,0,2,0,4,2,0,0,0,0
LOC_Os04g45130.1,9,16,6,0,5,7,1,0,2
LOC_Os04g45140.1,73,52,73,0,0,0,0,0,0
LOC_Os04g45160.2,55,48,59,98,75,30,33,36,25
LOC_Os04g45170.1,5,4,6,133,82,34,4,10,5
LOC_Os04g45180.1,46,72,49,74,60,14,41,32,37
LOC_Os04g45190.3,132,125,84,16,9,10,1,1,0
LOC_Os04g45200.1,142,67,87,11,3,4,11,9,2
LOC_Os04g45210.1,9,2,5,0,0,0,0,0,0
LOC_Os04g45220.1,17,14,11,0,0,3,5,4,1
LOC_Os04g45240.1,25,7,12,30,34,25,2,5,6
LOC_Os04g45270.1,126,134,94,8,5,10,0,0,0
LOC_Os04g45280.1,25,61,12,124,63,28,28,41,27
LOC_Os04g45290.2,9,19,18,171,42,286,797,1091,802
LOC_Os04g45300.1,0,0,0,0,0,0,0,1,0
LOC_Os04g45310.1,0,0,0,0,0,1,0,0,0
LOC_Os04g45320.1,0,0,0,11,1,19,0,0,1
LOC_Os04g45330.1,0,0,0,1,0,0,0,0,0
LOC_Os04g45340.1,19,31,1,0,0,0,0,0,0
LOC_Os04g45360.1,0,0,0,17,22,5,7,0,0
LOC_Os04g45370.1,3,2,0,1,1,0,0,0,0
LOC_Os04g45380.1,0,0,0,2,0,13,0,0,0
LOC_Os04g45390.1,0,0,0,1,2,3,0,0,0
LOC_Os04g45410.1,0,0,2,9,3,5,0,0,0
LOC_Os04g45420.1,1,0,0,0,0,4,0,0,0
LOC_Os04g45450.1,1,0,0,111,52,15,1,5,1
LOC_Os04g45460.1,627,572,204,327,181,103,7,6,11
LOC_Os04g45470.1,619,610,247,356,177,126,8,6,13
LOC_Os04g45480.1,45,42,77,202,163,115,50,45,74
LOC_Os04g45490.1,261,305,193,16,12,2,1,2,5
LOC_Os04g45500.1,0,0,0,0,0,0,2,1,4
LOC_Os04g45510.1,10,7,2,0,0,1,0,0,0
LOC_Os04g45520.1,39,23,8,0,0,0,1,0,1
LOC_Os04g45570.1,306,253,210,21,16,3,18,17,34
LOC_Os04g45580.1,349,291,307,280,185,127,60,45,62
LOC_Os04g45590.1,1,1,3,0,0,0,0,0,0
LOC_Os04g45600.1,42,18,20,4,0,3,21,31,13
LOC_Os04g45610.1,115,90,71,11,12,6,90,159,86
LOC_Os04g45650.2,512,564,501,302,255,213,149,202,162
LOC_Os04g45665.1,0,0,0,2,1,0,0,0,1
LOC_Os04g45670.1,135,108,69,403,355,196,101,118,78
LOC_Os04g45690.1,5,23,35,1,0,0,0,0,0
LOC_Os04g45700.1,56,66,74,3,0,3,3,3,2
LOC_Os04g45710.1,3,1,0,0,0,0,0,0,0
LOC_Os04g45720.1,317,271,200,14,10,15,1,2,11
LOC_Os04g45730.1,69,40,11,0,1,0,0,1,0
LOC_Os04g45750.2,471,511,491,7,1,0,1,0,4
LOC_Os04g45780.1,0,0,0,1,0,0,0,0,0
LOC_Os04g45800.1,293,325,121,1,1,1,10,24,30
LOC_Os04g45810.1,14,3,8,0,0,0,0,0,0
LOC_Os04g45821.1,36,37,27,0,0,0,0,0,0
LOC_Os04g45834.2,51,49,31,0,0,0,0,5,3
LOC_Os04g45850.1,0,0,0,1,0,0,0,0,0
LOC_Os04g45860.1,125,117,137,166,86,53,25,19,40
LOC_Os04g45870.1,4,8,5,18,21,5,4,1,1
LOC_Os04g45890.1,0,0,1,0,0,0,0,0,0
LOC_Os04g45900.1,68,82,45,0,4,0,1,0,0
LOC_Os04g45910.1,327,261,130,698,682,481,270,314,395
LOC_Os04g45920.1,261,173,53,521,569,336,173,221,280
LOC_Os04g45930.2,662,547,481,2354,1714,1108,354,368,557
LOC_Os04g45940.1,1708,1451,1241,618,601,324,112,98,109
LOC_Os04g45950.1,16,46,12,53,69,28,5,4,4
LOC_Os04g45960.1,21,25,16,2,1,0,4,0,0
LOC_Os04g45970.1,254,248,196,251,176,749,6469,8362,10953
LOC_Os04g45980.1,1,2,1,2,1,1,0,0,0
LOC_Os04g45990.1,369,232,256,662,513,359,360,341,409
LOC_Os04g46000.1,0,0,0,34,17,8,0,0,2
LOC_Os04g46010.1,49,43,10,3,1,0,0,0,2
LOC_Os04g46020.2,317,297,243,12,2,1,0,0,7
LOC_Os04g46050.1,166,164,186,70,38,34,47,33,30
LOC_Os04g46060.1,7,0,0,0,0,0,0,0,0
LOC_Os04g46079.1,25,21,23,246,174,293,1841,1319,2465
LOC_Os04g46100.1,99,62,18,321,201,130,10,14,7
LOC_Os04g46160.1,70,87,116,38,29,12,2,1,2
LOC_Os04g46170.1,102,66,52,7,0,0,0,2,0
LOC_Os04g46180.1,240,224,187,406,255,100,7,7,26
LOC_Os04g46190.2,80,77,51,179,150,78,52,89,64
LOC_Os04g46200.1,0,0,0,1,2,2,0,0,0
LOC_Os04g46220.1,271,344,177,0,0,3,3,0,0
LOC_Os04g46240.1,1,1,0,0,0,0,0,0,0
LOC_Os04g46270.1,0,3,0,0,0,0,0,0,1
LOC_Os04g46280.1,438,581,259,0,0,0,4,2,2
LOC_Os04g46290.1,207,182,150,190,125,55,4,6,3
LOC_Os04g46300.1,26,13,14,22,17,1,0,1,0
LOC_Os04g46310.1,608,513,432,14,4,10,5,1,3
LOC_Os04g46320.1,83,75,59,157,111,75,15,12,13
LOC_Os04g46350.1,0,9,3,0,0,0,0,0,0
LOC_Os04g46370.2,64,77,60,0,1,8,17,9,7
LOC_Os04g46380.1,50,36,44,1,0,1,1,2,0
LOC_Os04g46384.1,8,4,0,1030,712,373,18,23,14
LOC_Os04g46390.1,483,519,447,261,174,114,157,170,153
LOC_Os04g46400.1,7,13,0,0,0,0,1,0,1
LOC_Os04g46420.1,0,0,0,0,0,0,0,1,0
LOC_Os04g46430.1,0,0,0,0,0,0,0,2,0
LOC_Os04g46440.1,178,112,92,1,0,0,0,0,0
LOC_Os04g46444.1,0,0,0,0,0,1,2,1,10
LOC_Os04g46450.1,594,564,298,1633,1572,931,181,167,175
LOC_Os04g46460.1,26,26,13,11,1,2,3,2,4
LOC_Os04g46470.1,21,10,3,1436,1003,733,22,17,19
LOC_Os04g46480.2,26,17,6,1924,1368,886,39,23,39
LOC_Os04g46490.1,16,12,14,8748,10601,4150,288,296,333
LOC_Os04g46530.1,0,0,0,3,1,0,0,0,0
LOC_Os04g46540.1,0,0,0,4,7,2,0,0,0
LOC_Os04g46550.1,0,1,0,34,33,11,5,2,3
LOC_Os04g46560.1,3,2,0,1,4,0,0,1,0
LOC_Os04g46570.3,371,281,73,543,319,671,4800,4466,5508
LOC_Os04g46580.1,1,1,1,0,0,0,0,0,0
LOC_Os04g46600.1,56,50,18,57,41,29,0,3,2
LOC_Os04g46610.1,24,30,20,868,1146,735,104,59,165
LOC_Os04g46620.1,306,262,184,93,66,49,6,10,13
LOC_Os04g46630.1,0,0,0,0,0,0,6,1,0
LOC_Os04g46650.1,0,0,0,1,0,0,6,0,0
LOC_Os04g46660.1,9,12,11,0,0,0,0,0,0
LOC_Os04g46670.1,0,0,0,15,7,34,221,239,209
LOC_Os04g46680.1,4,9,10,0,0,0,2,1,4
LOC_Os04g46700.1,95,75,52,2,0,10,43,34,34
LOC_Os04g46710.1,0,0,0,0,0,8,0,0,0
LOC_Os04g46730.1,18,18,23,122,140,76,17,21,20
LOC_Os04g46740.2,6,16,9,22,9,4,3,0,0
LOC_Os04g46750.1,113,93,61,15,19,10,0,1,6
LOC_Os04g46760.1,0,2,3,86,56,60,9,9,8
LOC_Os04g46770.1,0,0,0,1,0,0,0,0,0
LOC_Os04g46780.2,0,0,2,69,90,46,4,3,7
LOC_Os04g46790.1,0,0,1,250,182,159,17,11,19
LOC_Os04g46800.1,0,0,0,2,24,0,0,3,1
LOC_Os04g46810.1,0,0,0,6,8,0,0,0,0
LOC_Os04g46830.1,2,2,0,0,0,0,0,0,0
LOC_Os04g46840.1,0,0,0,1,3,0,1,0,0
LOC_Os04g46850.1,0,0,0,0,2,0,0,0,0
LOC_Os04g46860.1,375,319,394,66,35,20,4,2,5
LOC_Os04g46880.1,520,595,343,279,170,441,3462,2941,3847
LOC_Os04g46892.1,603,551,508,146,102,122,66,123,104
LOC_Os04g46894.1,932,772,459,215,151,111,84,95,76
LOC_Os04g46910.1,1,7,6,135,94,615,3515,4640,5088
LOC_Os04g46920.2,47,43,18,12,9,4,2,2,0
LOC_Os04g46930.2,76,70,86,48,19,30,2,0,2
LOC_Os04g46940.1,69,56,99,315,163,91,104,104,131
LOC_Os04g46950.1,2,4,3,9,0,2,0,0,0
LOC_Os04g46960.1,631,700,279,907,888,591,137,133,190
LOC_Os04g46970.1,3,8,4,8,5,0,3,0,0
LOC_Os04g46980.1,105,63,4,0,0,0,0,0,1
LOC_Os04g46990.1,1,7,0,0,0,0,0,0,0
LOC_Os04g47000.1,0,0,0,0,0,0,2,4,3
LOC_Os04g47010.1,16,14,10,0,0,0,0,0,0
LOC_Os04g47020.2,119,72,52,75,97,10,22,13,24
LOC_Os04g47030.1,0,0,0,4,3,17,0,0,2
LOC_Os04g47040.1,0,0,0,8,12,7,0,1,0
LOC_Os04g47059.1,0,0,0,13,18,4,1,2,7
LOC_Os04g47080.1,0,0,0,5,0,0,0,0,0
LOC_Os04g47100.1,0,0,0,2,0,0,0,1,0
LOC_Os04g47110.1,1,0,0,18,21,13,2,3,9
LOC_Os04g47120.1,156,155,142,263,196,96,6,11,11
LOC_Os04g47130.1,19,11,8,8,2,2,0,0,0
LOC_Os04g47140.3,1,1,1,1,3,0,1,0,3
LOC_Os04g47150.1,3,1,3,352,254,1430,4033,4474,5118
LOC_Os04g47170.1,236,166,78,129,84,53,59,98,72
LOC_Os04g47180.1,674,468,278,381,246,157,248,293,266
LOC_Os04g47190.2,109,147,108,56,72,71,325,373,447
LOC_Os04g47200.1,2,0,1,18,17,3,0,2,3
LOC_Os04g47220.1,158,186,183,0,6,0,5,0,2
LOC_Os04g47240.3,541,479,454,18,33,10,68,47,70
LOC_Os04g47250.1,69,113,33,0,0,0,0,0,0
LOC_Os04g47260.1,55,50,30,60,90,14,36,47,56
LOC_Os04g47270.1,310,241,287,20,12,1,2,5,3
LOC_Os04g47280.1,17,33,31,0,1,0,1,0,0
LOC_Os04g47290.2,34,16,24,3,2,0,3,4,2
LOC_Os04g47300.1,12,13,13,0,0,0,6,0,1
LOC_Os04g47310.1,76,25,99,19,2,1,0,0,1
LOC_Os04g47320.1,7,9,2,31,17,65,655,726,744
LOC_Os04g47330.1,19,73,18,0,0,1,0,0,1
LOC_Os04g47360.1,50,85,8,1,3,0,2,2,0
LOC_Os04g47370.1,125,122,87,39,19,15,12,13,8
LOC_Os04g47380.1,64,52,22,18,9,11,2,5,0
LOC_Os04g47390.1,0,0,0,1,0,3,0,0,1
LOC_Os04g47400.1,3,3,7,160,110,77,2,0,2
LOC_Os04g47410.1,260,191,78,102,75,118,338,408,366
LOC_Os04g47420.1,46,58,35,7,4,0,1,2,7
LOC_Os04g47430.1,0,0,0,0,0,0,3,3,3
LOC_Os04g47440.1,0,0,0,0,0,0,5,10,7
LOC_Os04g47450.1,1,2,0,0,0,0,1,0,0
LOC_Os04g47460.1,0,0,0,0,1,0,0,0,0
LOC_Os04g47470.1,0,0,0,1,2,3,9,8,5
LOC_Os04g47480.1,15,24,6,53,60,12,2,3,2
LOC_Os04g47500.1,0,0,0,0,0,0,1,3,0
LOC_Os04g47520.1,40,22,14,8,2,0,5,0,2
LOC_Os04g47530.1,111,104,83,581,350,323,240,369,454
LOC_Os04g47550.1,47,32,28,24,6,0,12,23,12
LOC_Os04g47555.1,0,3,2,0,0,0,0,0,0
LOC_Os04g47560.1,0,0,0,1,6,0,0,0,0
LOC_Os04g47570.1,1,1,6,1,3,0,0,0,0
LOC_Os04g47580.1,64,96,86,25,33,22,13,25,10
LOC_Os04g47590.1,103,69,28,115,60,50,1,0,0
LOC_Os04g47600.1,0,0,0,0,1,0,0,0,0
LOC_Os04g47620.1,53,84,10,11,15,6,5,7,7
LOC_Os04g47640.1,27,13,24,2,3,2,0,1,1
LOC_Os04g47650.1,1,1,0,1,0,0,1,1,4
LOC_Os04g47660.1,0,0,0,1,0,0,0,1,0
LOC_Os04g47670.2,46,51,65,25,40,15,10,7,18
LOC_Os04g47680.1,9,4,4,8,0,3,2,0,1
LOC_Os04g47690.1,1357,1138,523,548,501,252,58,44,49
LOC_Os04g47700.1,143,129,61,108,64,56,17,15,11
LOC_Os04g47720.1,16,15,12,0,0,0,3,0,0
LOC_Os04g47740.1,0,1,0,0,0,1,5,2,1
LOC_Os04g47750.1,0,0,0,0,0,0,2,2,2
LOC_Os04g47760.1,0,0,0,1,0,0,0,0,2
LOC_Os04g47780.1,60,55,7,1,0,0,1,2,1
LOC_Os04g47790.1,0,0,0,0,0,1,1,0,0
LOC_Os04g47800.1,0,0,0,0,2,0,0,0,0
LOC_Os04g47810.1,24,27,26,120,112,116,18,11,19
LOC_Os04g47820.1,4,1,3,0,2,1,3,0,0
LOC_Os04g47830.1,45,49,23,310,189,150,30,24,34
LOC_Os04g47860.6,23,10,6,0,0,0,9,2,6
LOC_Os04g47870.2,3222,3355,4397,871,698,511,125,126,153
LOC_Os04g47890.1,2,0,1,5,7,0,0,0,0
LOC_Os04g47900.1,2,1,0,0,1,0,3,2,1
LOC_Os04g47906.2,110,78,58,48,30,15,26,36,28
LOC_Os04g47912.1,79,44,76,23,13,1,18,34,37
LOC_Os04g47970.1,178,147,96,12,11,23,147,119,146
LOC_Os04g47990.1,9,24,16,0,0,0,0,0,0
LOC_Os04g48010.1,247,115,260,80,30,116,649,713,1007
LOC_Os04g48020.1,2,8,0,0,0,0,0,3,0
LOC_Os04g48030.1,164,155,342,6,21,0,4,8,11
LOC_Os04g48040.1,51,28,32,0,0,0,0,0,0
LOC_Os04g48050.1,155,150,106,128,83,46,87,57,70
LOC_Os04g48060.1,218,185,94,46,26,18,8,13,5
LOC_Os04g48070.1,99,154,111,142,173,123,46,11,22
LOC_Os04g48094.1,0,0,4,0,0,2,0,0,2
LOC_Os04g48130.1,91,88,65,7,6,3,0,0,1
LOC_Os04g48140.1,58,32,25,81,52,21,2,2,1
LOC_Os04g48150.1,0,0,0,0,0,0,0,6,6
LOC_Os04g48160.1,245,298,185,0,1,1,4,4,5
LOC_Os04g48170.1,0,0,0,4,0,0,0,0,0
LOC_Os04g48210.2,0,0,0,9,0,2,66,65,21
LOC_Os04g48220.1,1,0,0,0,0,0,0,0,0
LOC_Os04g48230.2,549,595,356,29,14,7,2,3,4
LOC_Os04g48240.1,2,0,0,0,0,0,0,0,0
LOC_Os04g48260.1,88,88,42,0,0,0,2,0,1
LOC_Os04g48270.1,30,44,31,43,31,29,79,125,47
LOC_Os04g48280.1,0,0,1,0,0,0,0,0,1
LOC_Os04g48290.1,147,18,10,0,0,1,0,0,0
LOC_Os04g48310.1,74,61,36,15,38,11,0,0,0
LOC_Os04g48320.1,90,39,29,13,2,0,0,0,0
LOC_Os04g48330.1,0,1,1,0,0,0,0,0,0
LOC_Os04g48350.1,21,8,7,1,0,0,0,0,0
LOC_Os04g48360.1,0,0,0,1,0,0,0,0,0
LOC_Os04g48370.1,175,140,64,414,333,267,24,11,20
LOC_Os04g48375.1,4,3,3,15,10,3,2,0,3
LOC_Os04g48380.1,0,0,2,203,148,48,6,2,5
LOC_Os04g48390.1,13,36,3,13,5,0,3,0,3
LOC_Os04g48400.1,0,1,3,0,0,0,0,0,0
LOC_Os04g48410.1,252,271,216,8,2,0,1,2,2
LOC_Os04g48416.1,223,200,129,0,2,0,1,1,2
LOC_Os04g48460.2,325,320,403,1,0,3,0,0,0
LOC_Os04g48480.1,27,22,18,2,0,5,0,0,1
LOC_Os04g48484.1,91,90,85,105,65,43,29,22,21
LOC_Os04g48490.1,365,399,319,5,1,0,0,0,1
LOC_Os04g48510.1,0,0,2,0,0,0,0,0,0
LOC_Os04g48520.1,157,161,132,198,160,153,50,26,33
LOC_Os04g48530.1,0,0,0,25,19,8,0,1,4
LOC_Os04g48540.1,0,0,0,10,12,4,0,0,0
LOC_Os04g48570.1,1,0,0,0,0,0,0,0,0
LOC_Os04g48660.1,0,0,0,0,0,0,7,0,1
LOC_Os04g48670.1,1,0,0,0,0,0,0,0,1
LOC_Os04g48680.1,0,0,0,0,0,0,0,0,2
LOC_Os04g48690.1,0,0,0,0,0,0,0,1,0
LOC_Os04g48700.1,0,0,2,3,3,19,74,52,69
LOC_Os04g48710.2,765,615,546,19,2,41,74,108,150
LOC_Os04g48720.1,0,0,0,0,1,12,10,12,26
LOC_Os04g48730.3,265,213,115,1857,1627,951,172,151,152
LOC_Os04g48750.2,20,14,22,149,119,65,32,25,35
LOC_Os04g48760.1,173,146,205,0,0,0,0,2,0
LOC_Os04g48770.2,307,235,202,165,134,71,7,7,8
LOC_Os04g48780.1,0,0,0,1,1,0,0,0,0
LOC_Os04g48790.1,31,51,20,96,60,22,33,44,45
LOC_Os04g48800.4,247,325,249,83,54,52,36,46,56
LOC_Os04g48810.1,0,5,0,0,0,0,0,0,0
LOC_Os04g48820.1,62,79,9,273,197,87,28,7,16
LOC_Os04g48830.1,161,187,165,3,2,0,1,0,0
LOC_Os04g48840.1,102,104,50,377,218,175,61,70,50
LOC_Os04g48850.1,1,2,0,0,0,0,0,0,1
LOC_Os04g48870.1,6,16,0,2,7,0,0,0,0
LOC_Os04g48880.1,40,72,154,30,32,122,724,764,684
LOC_Os04g48890.1,4,0,0,1,0,0,0,0,0
LOC_Os04g48900.1,0,0,0,1,2,0,0,0,0
LOC_Os04g48930.4,0,0,3,0,0,0,0,0,0
LOC_Os04g48940.1,256,278,153,8,3,3,11,13,15
LOC_Os04g48950.1,65,53,43,39,49,222,1069,1087,1312
LOC_Os04g48960.1,0,0,0,1,0,0,0,0,1
LOC_Os04g49000.1,35,41,25,76,34,178,1001,1194,966
LOC_Os04g49060.1,103,121,113,2,0,1,46,46,27
LOC_Os04g49110.1,230,264,178,0,0,9,0,8,6
LOC_Os04g49120.1,0,0,0,1,2,0,0,0,0
LOC_Os04g49130.1,5,17,10,5,1,0,1,2,1
LOC_Os04g49150.1,322,276,419,0,0,1,2,1,1
LOC_Os04g49160.1,6,2,0,0,0,0,0,0,0
LOC_Os04g49170.1,0,3,1,0,0,0,0,0,0
LOC_Os04g49180.1,0,0,1,0,0,0,0,0,0
LOC_Os04g49194.1,0,0,0,2,0,0,0,0,0
LOC_Os04g49210.1,0,0,1,0,0,0,0,0,0
LOC_Os04g49220.1,2,1,1,0,0,0,0,0,0
LOC_Os04g49230.1,26,20,8,13,5,0,0,0,1
LOC_Os04g49240.1,0,0,0,0,0,1,0,0,0
LOC_Os04g49250.1,5,5,1,1,1,0,0,2,3
LOC_Os04g49260.1,11,7,0,0,0,9,0,0,0
LOC_Os04g49270.1,18,7,3,10,8,6,3,0,0
LOC_Os04g49280.1,0,4,0,3,2,0,1,1,0
LOC_Os04g49290.1,0,0,0,2,0,1,0,0,0
LOC_Os04g49300.1,1,0,1,8,2,2,1,0,0
LOC_Os04g49310.1,33,39,6,52,20,18,2,7,4
LOC_Os04g49320.1,2,7,0,154,142,72,24,26,24
LOC_Os04g49340.1,3,1,0,20,16,15,5,1,3
LOC_Os04g49350.1,90,95,69,78,82,33,47,47,56
LOC_Os04g49360.1,2,3,1,4,1,0,0,0,0
LOC_Os04g49370.1,314,462,242,1,0,2,0,0,1
LOC_Os04g49380.1,0,0,0,1,0,0,0,0,0
LOC_Os04g49410.1,133,203,168,1933,1844,1189,270,204,307
LOC_Os04g49420.1,107,182,155,1917,1825,1186,270,204,306
LOC_Os04g49430.1,109,128,56,59,54,32,5,6,9
LOC_Os04g49440.3,24,33,43,75,76,19,2,3,1
LOC_Os04g49450.2,140,202,223,201,204,49,4,6,7
LOC_Os04g49460.1,1,0,0,12,5,0,0,0,0
LOC_Os04g49480.1,0,0,0,2,0,1,0,0,0
LOC_Os04g49490.1,37,33,24,43,26,8,0,4,0
LOC_Os04g49500.1,9,4,3,1,0,0,0,0,0
LOC_Os04g49510.1,2529,2810,1102,40,68,22,9,14,28
LOC_Os04g49520.1,1263,1518,502,38,56,58,11,11,23
LOC_Os04g49530.1,204,204,76,180,106,110,25,33,22
LOC_Os04g49540.1,190,213,52,109,83,72,27,35,29
LOC_Os04g49550.1,295,355,266,0,3,0,1,0,0
LOC_Os04g49560.1,159,197,218,7,3,1,2,1,2
LOC_Os04g49570.2,57,31,40,209,121,129,23,12,27
LOC_Os04g49580.1,242,236,91,238,82,82,4,9,5
LOC_Os04g49590.1,45,31,29,409,277,160,10,16,22
LOC_Os04g49610.1,138,152,80,0,0,0,2,0,0
LOC_Os04g49620.1,32,20,9,1,0,1,0,0,0
LOC_Os04g49640.1,0,0,0,0,0,1,0,1,1
LOC_Os04g49650.2,1,3,27,330,219,1523,4878,4630,4550
LOC_Os04g49660.1,89,136,28,0,1,0,0,0,2
LOC_Os04g49670.1,49,54,10,0,0,0,0,0,0
LOC_Os04g49680.1,370,384,92,1,0,8,1,0,0
LOC_Os04g49685.1,0,0,0,8,9,3,0,0,0
LOC_Os04g49690.1,119,67,19,54,22,10,0,0,0
LOC_Os04g49700.1,0,3,0,0,0,0,0,0,0
LOC_Os04g49720.1,0,0,0,5,0,0,5,0,0
LOC_Os04g49730.1,20,18,6,0,0,0,0,0,0
LOC_Os04g49739.1,11,2,2,65,28,71,349,467,409
LOC_Os04g49748.1,6,0,2,5,3,1,3,6,7
LOC_Os04g49757.1,0,0,0,0,2,0,0,0,0
LOC_Os04g49770.1,0,0,0,1,0,0,0,0,0
LOC_Os04g49780.1,50,68,26,224,176,139,21,7,20
LOC_Os04g49790.1,31,35,42,0,0,0,0,0,1
LOC_Os04g49840.1,0,0,0,3,0,0,0,0,0
LOC_Os04g49850.1,1,0,1,0,0,0,0,0,0
LOC_Os04g49860.1,17,23,14,2,1,0,2,0,0
LOC_Os04g49890.1,96,64,83,3809,2464,1550,244,292,316
LOC_Os04g49900.1,39,50,21,3,10,0,0,0,1
LOC_Os04g49910.1,3,1,4,8,0,0,0,0,0
LOC_Os04g49920.1,56,50,47,241,31,108,1,1,1
LOC_Os04g49930.1,2,0,0,5,0,0,0,0,0
LOC_Os04g49940.1,42,53,57,8,2,9,22,36,27
LOC_Os04g49950.1,23,36,59,0,0,1,3,5,5
LOC_Os04g49954.1,109,146,81,6,1,5,19,10,29
LOC_Os04g49960.1,105,114,34,0,0,0,1,1,3
LOC_Os04g49980.1,0,3,4,0,1,0,0,0,0
LOC_Os04g49990.2,1034,865,1017,50,11,19,126,124,77
LOC_Os04g50000.1,0,0,0,1,0,0,0,0,0
LOC_Os04g50060.2,255,227,205,3,3,3,1,2,1
LOC_Os04g50090.1,0,0,0,0,2,1,0,0,0
LOC_Os04g50100.1,39,39,20,61,12,75,0,0,1
LOC_Os04g50110.1,16,22,22,38,21,3,1,0,0
LOC_Os04g50120.1,498,417,250,49,34,21,1,0,0
LOC_Os04g50130.1,0,0,0,6,4,0,0,0,0
LOC_Os04g50140.1,0,0,0,1,0,0,0,0,0
LOC_Os04g50176.1,1,3,2,231,254,135,133,171,200
LOC_Os04g50180.1,0,0,0,1,0,2,0,1,0
LOC_Os04g50184.1,1,0,0,0,0,0,0,0,0
LOC_Os04g50192.1,0,0,0,1,0,0,0,0,0
LOC_Os04g50200.1,0,0,0,3,1,0,0,4,1
